full_name,id,position,photo_url
Gary Harris,6b5d0264-fa2d-4956-919b-61abfc6bb8d7,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6b5d0264-fa2d-4956-919b-61abfc6bb8d7/300x300-crop.png
Gordon Hayward,a1ddebee-950c-497d-9acd-b5061360b464,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/a1ddebee-950c-497d-9acd-b5061360b464/300x300-crop.png
George Hill,6e566165-6674-4306-9994-470f60720a2c,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6e566165-6674-4306-9994-470f60720a2c/300x300-crop.png
GG Jackson II,28549c0f-c6e6-4757-a515-dbc2e1b78007,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/28549c0f-c6e6-4757-a515-dbc2e1b78007/300x300-crop.png
Georgios Kalaitzakis,77342fb7-2d81-4492-a20b-cbbffd0c5267,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/77342fb7-2d81-4492-a20b-cbbffd0c5267/300x300-crop.png
George King,bc01a465-e5f9-4f11-b259-70384692a2b9,F-G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/bc01a465-e5f9-4f11-b259-70384692a2b9/300x300-crop.png
Garrison Mathews,9866abfb-ec41-451a-9c2a-d1a47ec21a0e,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/9866abfb-ec41-451a-9c2a-d1a47ec21a0e/300x300-crop.png
Greg Monroe,762d218c-cdbd-4886-9252-10cd99284c7a,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/762d218c-cdbd-4886-9252-10cd99284c7a/300x300-crop.png
Georges Niang,fae899bc-3fc7-43d9-b2c9-35721d11e438,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/fae899bc-3fc7-43d9-b2c9-35721d11e438/300x300-crop.png
Gary Payton II,955fe0fb-3ca2-49c0-9a19-922d8349f13c,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/955fe0fb-3ca2-49c0-9a19-922d8349f13c/300x300-crop.png
Grant Riller,e41f7a3d-abec-468c-9e29-af2a374f4525,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/e41f7a3d-abec-468c-9e29-af2a374f4525/300x300-crop.png
Glenn Robinson III,7f462af0-2ac8-4ca5-aa5a-17b37dc5001b,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/7f462af0-2ac8-4ca5-aa5a-17b37dc5001b/300x300-crop.png
Gui Santos,f5d6fdfd-21f6-48f0-a297-4c13e8fc40cb,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/f5d6fdfd-21f6-48f0-a297-4c13e8fc40cb/300x300-crop.png
Garrett Temple,ee2644c1-1260-4bf4-9c70-7c5b0cee4770,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ee2644c1-1260-4bf4-9c70-7c5b0cee4770/300x300-crop.png
Gary Trent Jr.,62daf16f-0c4c-46ae-9e54-0d34d6fdef85,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/62daf16f-0c4c-46ae-9e54-0d34d6fdef85/300x300-crop.png
Gabe Vincent,1d4905d6-a6b4-4b45-8a90-91ed03440d0f,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/1d4905d6-a6b4-4b45-8a90-91ed03440d0f/300x300-crop.png
Greg Whittington,d0cb08b3-51b4-4700-9311-4e111df81d49,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d0cb08b3-51b4-4700-9311-4e111df81d49/300x300-crop.png
Grant Williams,59209028-6712-47ef-b87c-bdb19f91523b,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/59209028-6712-47ef-b87c-bdb19f91523b/300x300-crop.png
Gabe York,2a6aabcb-aaf9-49bd-b38f-d43bcb945a2b,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/2a6aabcb-aaf9-49bd-b38f-d43bcb945a2b/300x300-crop.png
Wenyen Gabriel,2bf24df1-604d-4eca-b3f3-f5691f4b99b6,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/2bf24df1-604d-4eca-b3f3-f5691f4b99b6/300x300-crop.png
Abdul Gaddy,b9576fd7-426c-49bd-a501-9a9c48f2fa7e,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b9576fd7-426c-49bd-a501-9a9c48f2fa7e/300x300-crop.png
Daniel Gafford,52cd8137-c791-4569-ad70-433e25d34882,F-C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/52cd8137-c791-4569-ad70-433e25d34882/300x300-crop.png
Danilo Gallinari,47cd6421-0ce1-431e-9b9c-a8d9bfd0eb04,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/47cd6421-0ce1-431e-9b9c-a8d9bfd0eb04/300x300-crop.png
Jaylin Galloway,6331dc61-03d4-4e96-adc3-1079db6da054,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6331dc61-03d4-4e96-adc3-1079db6da054/300x300-crop.png
Langston Galloway,138f5c1f-b8e6-4e7c-b8ef-ecb7faa7b936,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/138f5c1f-b8e6-4e7c-b8ef-ecb7faa7b936/300x300-crop.png
Patrick Gardner,039f5548-77c2-44a4-8b7b-5669d5239415,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/039f5548-77c2-44a4-8b7b-5669d5239415/300x300-crop.png
Darius Garland,b79b88e1-35ef-4947-8a61-f6ec631a1e15,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b79b88e1-35ef-4947-8a61-f6ec631a1e15/300x300-crop.png
Marcus Garrett,ee52d990-1de5-4693-8150-adac989fe5e6,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ee52d990-1de5-4693-8150-adac989fe5e6/300x300-crop.png
Usman Garuba,452f97da-01fb-40be-834b-34fd3a40615e,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/452f97da-01fb-40be-834b-34fd3a40615e/300x300-crop.png
Luka Garza,8da31ebc-6614-4209-8685-5442bc09887b,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/8da31ebc-6614-4209-8685-5442bc09887b/300x300-crop.png
Marc Gasol,b73a8508-23a1-49ee-a466-aa9ea8add09e,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b73a8508-23a1-49ee-a466-aa9ea8add09e/300x300-crop.png
Kaiser Gates,a2ddb4e5-6ffe-4677-9c76-a74057c869c6,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/a2ddb4e5-6ffe-4677-9c76-a74057c869c6/300x300-crop.png
Rudy Gay,79d56fd7-f4ed-4905-9d04-dff4b5352334,F-G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/79d56fd7-f4ed-4905-9d04-dff4b5352334/300x300-crop.png
Keyonte George,4a4459df-6307-4d10-b4cd-c69e9bf8b11d,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/4a4459df-6307-4d10-b4cd-c69e9bf8b11d/300x300-crop.png
Paul George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/db09f372-9a17-4889-add7-bf8a75ab6da6/300x300-crop.png
