minutes,points,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,flagrant_fouls,blocked_att,field_goals_made,field_goals_att,three_points_made,three_points_att,free_throws_made,free_throws_att,two_points_made,two_points_att,efficiency,true_shooting_att,points_off_turnovers,points_in_paint_made,points_in_paint_att,points_in_paint,fouls_drawn,offensive_fouls,fast_break_pts,fast_break_att,fast_break_made,second_chance_pts,second_chance_att,second_chance_made,player_id
26.25,7.8,4.59,5.695,10.29,2.5999999999999996,0.875,0.8150000000000001,1.745,1.9849999999999999,0.0,0.51,3.175,5.574999999999999,0.0,0.01,1.4500000000000002,2.95,3.175,5.5649999999999995,16.72,6.875,0.785,3.175,5.51,6.35,3.005,0.41500000000000004,0.365,0.23,0.175,3.27,2.525,1.375,a208e22a-6b63-45f9-b7c6-bf913a68f3df
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10a4ebb7-7be4-4fda-b7c7-fd20a6e7a6c0
33.75,19.549999999999997,2.585,7.08,9.67,3.2,1.1400000000000001,0.5700000000000001,2.715,3.025,0.005,0.825,7.515,14.175,0.005,0.11,4.52,5.79,7.505,14.065,23.475,16.725,3.115,6.66,11.86,13.32,4.93,0.7250000000000001,2.185,0.94,0.725,2.81,2.0,1.2,11c303dc-540c-4090-8e0c-76c2fb2c125a
20.5,7.9,0.73,1.32,2.05,1.1,0.27,0.25,0.69,1.68,0.0,0.34,2.8,6.54,1.37,3.86,0.95,1.17,1.42,2.68,6.97,7.06,0.83,1.36,2.44,2.71,0.83,0.15,1.02,0.73,0.42,0.69,0.69,0.27,a7466782-6f87-414f-9458-7fea82922e00
15.8,6.3,1.05,2.67,3.725,1.05,0.355,0.405,0.545,1.46,0.0,0.195,2.355,5.475,0.705,2.5700000000000003,0.9199999999999999,1.31,1.65,2.9,7.765000000000001,6.05,0.9,1.565,2.6950000000000003,3.135,1.06,0.135,1.1600000000000001,0.675,0.43,1.495,1.1549999999999998,0.645,266cd359-f378-45c6-957e-6e21378e5219
23.7,13.9,1.46,4.31,5.77,0.9,0.38,1.19,0.77,1.81,0.04,0.31,5.88,10.38,0.46,1.27,1.65,1.96,5.42,9.12,16.54,11.25,1.42,2.77,4.46,5.54,1.81,0.23,0.31,0.19,0.15,1.85,1.35,0.81,3157a0b5-1b4c-46d1-934c-ac2df3810950
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3c2c996-2bc9-4fce-a960-3a43fd33e027
21.85,9.850000000000001,0.65,2.15,2.8049999999999997,2.05,0.6599999999999999,0.32,0.995,1.57,0.0,0.5800000000000001,3.64,9.684999999999999,1.645,4.9399999999999995,0.94,1.345,1.9949999999999999,4.745,8.225,10.280000000000001,1.545,1.6349999999999998,3.7,3.2699999999999996,1.27,0.045,1.045,0.96,0.43000000000000005,0.99,1.04,0.39,d3d0ab55-b939-47b3-af27-77cdf85d7956
27.9,11.15,0.63,2.675,3.3049999999999997,1.7999999999999998,0.81,0.28500000000000003,0.825,1.565,0.005,0.405,3.745,8.725000000000001,2.385,5.95,1.3050000000000002,1.48,1.365,2.7649999999999997,11.385,9.375,1.83,1.215,2.35,2.425,1.385,0.049999999999999996,1.525,1.0050000000000001,0.535,1.04,0.835,0.33499999999999996,ffa9a64f-d624-4033-bd23-59dcfd805175
32.6,15.55,3.25,7.04,10.29,1.85,0.8400000000000001,1.3,1.665,2.055,0.015,0.665,6.375,9.46,0.025,0.18,2.745,3.785,6.35,9.280000000000001,23.965,11.129999999999999,2.39,6.16,8.825,12.31,3.84,0.27,0.99,0.52,0.47,3.375,1.995,1.3599999999999999,a3fff5c7-19b6-4dac-bd75-11b944bea505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681339e-29da-4cac-bf9c-770108073440
13.3,5.4,0.355,1.115,1.47,2.05,0.8,0.08,0.73,1.2149999999999999,0.0,0.245,1.9649999999999999,4.824999999999999,0.805,2.34,0.66,0.845,1.155,2.4850000000000003,6.045,5.1899999999999995,0.78,1.125,2.285,2.245,0.75,0.05,0.715,0.55,0.305,0.445,0.42000000000000004,0.16999999999999998,8d6caab5-3a9a-4994-bde0-9fe14032efd7
25.35,8.8,0.9199999999999999,4.41,5.32,3.7,1.095,0.7350000000000001,1.245,1.8250000000000002,0.005,0.36,3.42,7.225,0.685,1.805,1.27,1.815,2.735,5.42,14.05,8.024999999999999,1.63,2.545,4.765000000000001,5.09,1.53,0.135,0.885,0.755,0.4,1.105,1.025,0.455,2e49c27a-06c5-4c4a-87fd-69840b783947
